                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0301,                 2.3139,                 1.2373,                0.95777,                0.32415,                0.58049,                 0.4064,                 1.1356,                 3.0981,                 1.1208,                0.07075,                0.00325,                0.00325
                      1,                0.99867,                 1.4747,                 1.1678,                0.75166,                0.41429,                0.60579,                0.42031,                 1.2302,                 2.2983,                 1.2093,               0.040424,              0.0062575,              0.0062575
                      2,                0.99862,                 1.3006,                 1.1774,                0.53655,                 0.4466,                0.47852,                0.28849,                 1.3486,                 2.1826,                  1.546,              0.0097683,              0.0089349,              0.0089349
                      3,                 1.0122,                 1.2513,                 1.1828,                0.57766,                0.54286,                0.56182,                0.35666,                 1.3796,                 1.9341,                 1.4412,               0.008515,               0.008515,               0.008515
                      4,                 1.0006,                  1.164,                 1.1738,                0.73567,                0.48571,                0.55719,                0.35115,                 1.5406,                 1.9443,                 1.6261,               0.008515,               0.008515,               0.008515
                      5,                0.98548,                 1.1023,                 1.1677,                0.76904,                    0.4,                0.52494,                0.32305,                 1.5313,                 1.8966,                 1.5824,                0.00802,                0.00802,                0.00802
                      6,                0.94604,                  1.016,                 1.1467,                0.61484,                0.45714,                0.46929,                0.27236,                 1.4971,                 2.0776,                 1.5805,               0.007525,               0.007525,               0.007525
                      7,                0.92058,                0.97289,                 1.1377,                0.70446,                0.52857,                0.58444,                0.36287,                 1.4733,                 2.0758,                 1.4502,                0.00703,                0.00703,                0.00703
                      8,                0.89304,                0.93975,                 1.1147,                 0.6005,                0.52857,                0.58127,                0.32918,                 1.7266,                 1.8252,                 1.6734,               0.006535,               0.006535,               0.006535
                      9,                0.87979,                0.88607,                 1.0888,                0.64916,                0.57143,                0.60218,                 0.4002,                 1.3958,                 1.6146,                 1.3237,                0.00604,                0.00604,                0.00604
                     10,                0.84754,                0.82508,                 1.0723,                0.69013,                0.58571,                0.61946,                0.37492,                 1.4285,                 1.4736,                  1.423,               0.005545,               0.005545,               0.005545
                     11,                0.81266,                0.78305,                 1.0611,                0.70494,                0.55714,                0.57588,                0.36453,                 1.4116,                 1.6795,                 1.4284,                0.00505,                0.00505,                0.00505
                     12,                0.77638,                0.75346,                 1.0526,                0.68387,                0.49452,                 0.5777,                0.40488,                 1.4284,                  1.778,                 1.3901,               0.004555,               0.004555,               0.004555
                     13,                0.74227,                0.72234,                 1.0343,                0.60205,                0.58356,                0.58556,                0.37173,                 1.4412,                 1.8476,                 1.3936,                0.00406,                0.00406,                0.00406
                     14,                0.74897,                0.70938,                 1.0285,                0.66225,                0.54286,                0.57636,                0.39589,                 1.3355,                 1.8146,                 1.3184,               0.003565,               0.003565,               0.003565
                     15,                0.69961,                0.65885,                 1.0082,                  0.682,                0.57143,                0.61403,                0.39693,                 1.3835,                 1.7509,                 1.3477,                0.00307,                0.00307,                0.00307
                     16,                0.70089,                0.63556,                 1.0158,                0.70932,                0.55714,                0.61851,                0.41785,                 1.3712,                 1.6181,                 1.3722,               0.002575,               0.002575,               0.002575
                     17,                0.66834,                0.61687,                0.99667,                0.56635,                0.61429,                0.60766,                0.40666,                 1.3416,                 1.7603,                 1.3494,                0.00208,                0.00208,                0.00208
                     18,                0.65487,                0.60853,                 0.9878,                 0.6891,                0.61429,                0.64186,                 0.4426,                 1.2594,                 1.7087,                  1.272,               0.001585,               0.001585,               0.001585
                     19,                0.63243,                  0.578,                0.98179,                0.66078,                0.61429,                0.62612,                0.44815,                 1.3185,                   1.81,                  1.344,                0.00109,                0.00109,                0.00109
