                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.038,                    2.8,                  1.245,                0.00492,                0.84286,                0.18102,                0.13512,                 1.0998,                 3.3151,                 1.1256,                 0.0919,                 0.0009,                 0.0009
                      1,                 1.0361,                 2.4083,                 1.1895,                0.00508,                0.87143,                0.38607,                0.28773,                 1.1131,                 3.2053,                 1.1273,               0.082806,              0.0018059,              0.0018059
                      2,                0.98098,                 1.8419,                 1.1774,                0.77248,                0.32857,                0.49219,                0.35502,                 1.1583,                 3.0302,                  1.134,               0.073613,              0.0026129,              0.0026129
                      3,                0.94519,                 1.6036,                 1.1437,                0.81007,                0.30477,                0.54738,                0.34529,                  1.112,                 2.9342,                 1.1047,               0.064321,              0.0033208,              0.0033208
                      4,                0.97776,                  1.428,                 1.1395,                0.99872,                0.34286,                0.58074,                 0.4176,                  1.178,                  2.825,                 1.1752,                0.05493,              0.0039298,              0.0039298
                      5,                0.97913,                 1.3646,                 1.1234,                0.96112,                0.35328,                0.55163,                0.40538,                 1.2107,                 2.6753,                 1.1932,                0.04544,              0.0044398,              0.0044398
                      6,                0.93953,                 1.3525,                 1.1334,                      1,                0.32478,                0.54786,                0.39993,                 1.2782,                 2.6576,                 1.2388,               0.035851,              0.0048507,              0.0048507
                      7,                0.93016,                 1.3185,                 1.1282,                0.87727,                0.35714,                0.59062,                0.42037,                 1.3075,                 2.5695,                  1.283,               0.026163,              0.0051627,              0.0051627
                      8,                0.89887,                 1.1544,                 1.0831,                 0.8032,                0.40824,                 0.5606,                 0.3698,                 1.3146,                 2.4554,                 1.3829,               0.016376,              0.0053756,              0.0053756
                      9,                0.90378,                 1.1668,                 1.1167,                0.83772,                0.47143,                0.63042,                0.41242,                 1.2849,                 2.3646,                 1.3741,              0.0064895,              0.0054896,              0.0054896
                     10,                0.89137,                 1.1448,                 1.0835,                0.75328,                    0.5,                0.62398,                 0.4123,                 1.3665,                 2.2694,                  1.486,                0.00505,                0.00505,                0.00505
                     11,                0.89605,                 1.0873,                 1.0903,                0.69271,                0.57974,                 0.6119,                 0.3718,                 1.4553,                 2.2185,                 1.5584,                0.00505,                0.00505,                0.00505
                     12,                0.89243,                 1.1169,                 1.1077,                0.62326,                0.52857,                0.55355,                0.33663,                 1.3557,                 2.2786,                 1.4508,               0.004555,               0.004555,               0.004555
                     13,                0.84989,                 1.0543,                 1.0913,                 0.5974,                0.52997,                0.54269,                0.32769,                  1.305,                 2.1781,                 1.4654,                0.00406,                0.00406,                0.00406
                     14,                0.83918,                 1.0296,                 1.0652,                0.65628,                0.61429,                0.61118,                0.37396,                 1.2769,                 1.9467,                 1.3553,               0.003565,               0.003565,               0.003565
                     15,                0.83786,                 1.0024,                 1.0711,                0.78761,                0.52978,                0.60394,                0.36213,                 1.3022,                 1.9571,                 1.3865,                0.00307,                0.00307,                0.00307
                     16,                  0.761,                0.98485,                 1.0336,                0.79814,                0.50843,                0.60914,                0.36421,                 1.3012,                 1.9683,                 1.4109,               0.002575,               0.002575,               0.002575
                     17,                 0.7797,                0.92537,                 1.0471,                 0.8009,                0.52857,                0.63888,                0.39722,                 1.2734,                 1.8549,                 1.3538,                0.00208,                0.00208,                0.00208
                     18,                0.76396,                0.92639,                 1.0321,                0.80153,                0.51931,                0.63684,                0.41227,                 1.2773,                 1.8425,                 1.3391,               0.001585,               0.001585,               0.001585
                     19,                0.80432,                 0.8989,                 1.0375,                 0.6586,                0.66146,                0.65323,                0.41918,                 1.2974,                 1.8007,                 1.3969,                0.00109,                0.00109,                0.00109
